<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;210806;000000;5496.0000000;5510.0000000;5455.0000000;5458.5000000;185302
MGNT;D;210809;000000;5452.0000000;5494.5000000;5416.0000000;5457.0000000;278355
MGNT;D;210810;000000;5468.0000000;5484.5000000;5432.5000000;5458.0000000;304453
MGNT;D;210811;000000;5468.5000000;5507.0000000;5440.0000000;5465.0000000;240920
MGNT;D;210812;000000;5474.5000000;5545.0000000;5453.5000000;5537.5000000;444306
MGNT;D;210813;000000;5546.0000000;5611.0000000;5433.0000000;5504.5000000;837796
MGNT;D;210816;000000;5463.5000000;5487.0000000;5380.0000000;5466.0000000;346230
MGNT;D;210817;000000;5471.5000000;5568.0000000;5471.5000000;5523.5000000;303759
MGNT;D;210818;000000;5530.0000000;5620.0000000;5518.0000000;5555.0000000;269970
MGNT;D;210819;000000;5540.0000000;5598.0000000;5514.0000000;5573.0000000;275808
MGNT;D;210820;000000;5570.5000000;5584.5000000;5530.0000000;5532.0000000;100666
MGNT;D;210823;000000;5561.5000000;5584.0000000;5527.5000000;5545.0000000;160716
MGNT;D;210824;000000;5558.5000000;5638.0000000;5553.0000000;5634.0000000;374893
MGNT;D;210825;000000;5634.0000000;5650.0000000;5574.5000000;5583.0000000;270661
MGNT;D;210826;000000;5580.5000000;5633.5000000;5551.0000000;5619.0000000;217540
MGNT;D;210827;000000;5620.5000000;5636.0000000;5584.0000000;5601.0000000;224469
MGNT;D;210830;000000;5601.0000000;5623.5000000;5544.0000000;5591.0000000;230782
MGNT;D;210831;000000;5599.5000000;5634.0000000;5530.0000000;5539.5000000;262975
MGNT;D;210901;000000;5539.5000000;5584.5000000;5501.0000000;5547.5000000;205833
MGNT;D;210902;000000;5548.0000000;5581.5000000;5481.0000000;5565.5000000;189545
MGNT;D;210903;000000;5569.0000000;5592.0000000;5452.0000000;5517.5000000;240189
MGNT;D;210906;000000;5498.0000000;5514.5000000;5429.0000000;5440.0000000;195071
MGNT;D;210907;000000;5452.5000000;5461.5000000;5320.0000000;5337.0000000;412383
MGNT;D;210908;000000;5330.0000000;5474.0000000;5324.0000000;5452.5000000;331764
MGNT;D;210909;000000;5452.5000000;5453.5000000;5301.0000000;5323.0000000;265004
MGNT;D;210910;000000;5340.0000000;5353.5000000;5252.0000000;5318.5000000;326991
MGNT;D;210913;000000;5300.0000000;5454.5000000;5291.0000000;5434.5000000;360378
MGNT;D;210914;000000;5445.0000000;5467.0000000;5370.0000000;5378.0000000;249237
MGNT;D;210915;000000;5385.0000000;5512.5000000;5378.0000000;5501.5000000;403860
MGNT;D;210916;000000;5505.0000000;5732.0000000;5505.0000000;5714.5000000;1188324
MGNT;D;210917;000000;5696.0000000;5750.0000000;5649.0000000;5727.5000000;521584
MGNT;D;210920;000000;5719.0000000;5720.5000000;5593.0000000;5630.5000000;368610
MGNT;D;210921;000000;5646.0000000;5700.0000000;5615.5000000;5623.5000000;194654
MGNT;D;210922;000000;5626.5000000;5667.5000000;5626.5000000;5655.5000000;87420
MGNT;D;210923;000000;5652.0000000;5994.5000000;5652.0000000;5941.0000000;976309
MGNT;D;210924;000000;5941.0000000;6015.0000000;5890.0000000;5944.5000000;583140
MGNT;D;210927;000000;5972.0000000;5982.0000000;5842.5000000;5954.5000000;606852
MGNT;D;210928;000000;5980.0000000;6055.0000000;5850.5000000;5906.5000000;639806
MGNT;D;210929;000000;5906.0000000;6049.0000000;5905.0000000;6027.5000000;378680
MGNT;D;210930;000000;6052.5000000;6131.5000000;5988.0000000;6060.0000000;505189
MGNT;D;211001;000000;6029.5000000;6080.5000000;5976.5000000;6014.0000000;214834
MGNT;D;211004;000000;6022.0000000;6056.5000000;5928.5000000;5985.5000000;316715
MGNT;D;211005;000000;5980.0000000;6280.0000000;5976.0000000;6245.0000000;452877
MGNT;D;211006;000000;6275.0000000;6289.0000000;6162.0000000;6240.5000000;360967
MGNT;D;211007;000000;6250.0000000;6377.0000000;6215.5000000;6339.5000000;448205
MGNT;D;211008;000000;6341.5000000;6408.0000000;6280.5000000;6300.0000000;222182
MGNT;D;211011;000000;6310.0000000;6365.0000000;6272.5000000;6350.0000000;125948
MGNT;D;211012;000000;6350.0000000;6495.0000000;6320.5000000;6475.5000000;338364
MGNT;D;211013;000000;6485.0000000;6488.5000000;6285.0000000;6401.0000000;227631
MGNT;D;211014;000000;6416.5000000;6446.0000000;6342.0000000;6358.0000000;190400
MGNT;D;211015;000000;6351.0000000;6354.0000000;6218.5000000;6270.5000000;263248
MGNT;D;211018;000000;6252.5000000;6330.5000000;6196.0000000;6270.0000000;186301
MGNT;D;211019;000000;6284.0000000;6375.0000000;6271.0000000;6361.0000000;201730
MGNT;D;211020;000000;6361.0000000;6384.0000000;6244.0000000;6307.5000000;326123
